company_name,location_name,checklist_name,checklist_type,question,question_type,vendor_name,answer_type,can_upload,can_comment,is_upload_mandatory,answer_date,answer,upload_links,extra_comment,is_skipped,categorization
IBM,Manyata - G2 Block 3rd Floor,Cafe Marketing Checklist,cafe,Are the PWA QR code posters placed at the cafeteria?,cafe,,boolean,1,1,1,2025-03-26 17:40:00,,,,1,[Marketing]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Daily Food safety Checklist - New,cafe,"Are the cutting boards and knives clean, with separate boards for veg and non-veg? Please share a photo of both.",cafe,,boolean,1,1,1,2025-03-07 17:40:00,,,,1,"[Hygiene & Cleanliness, Food Safety Compliance]"
IBM,Manyata - G2 Block 3rd Floor,Cafe Operations checklist - Daily (Revised),cafe,Are the kitchen floors and drains clean? Please provide a photo of both.,cafe,,boolean,1,1,1,2025-03-07 17:40:00,,,,1,[Hygiene & Cleanliness]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Daily Checklist (VDC),vendor,Is the bain-marie (65-85°C) or chiller (1-5°C) maintained at the required temperature? Please provide a photo of the temperature display or use a thermometer to verify.,vendor,Pelican,boolean,1,1,1,2025-03-30 17:40:00,,,,0,"[Food Safety Compliance, Hardware (Assets) & Other Equipment]"
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Daily Checklist (VDC),vendor,"Are separate tongs, gloves, woks, etc., used for veg and non-veg, and are gloves stored properly and changed regularly?",vendor,Krishna Cafe,boolean,1,1,0,2025-03-06 17:41:00,,,,1,"[Hygiene & Cleanliness, Food Safety Compliance, Hardware (Assets) & Other Equipment]"
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,Is the chiller/freezer/oven working? Please click a photo of the relevant appliance.,vendor,Tea Cube (Mud Cups),boolean,1,1,0,2025-03-12 17:40:00,1,,,0,[Hardware (Assets) & Other Equipment]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Daily Checklist (VDC),vendor,Is the chiller/freezer/oven working? Please click a photo of the relevant appliance.,vendor,Brew Haven Juice Counter,boolean,1,1,0,2025-03-09 17:41:00,1,"""http://content.hungerbox.com/uploads/checklist/prod/2225563_1741599005.jpg""",,0,[Hardware (Assets) & Other Equipment]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Occasion Checklist (VOC),vendor,"Has the sensory evaluation been done for appearance, aroma, taste, texture, and color? If any item is rejected, mention the reason and share a photo of the evaluation.",vendor,Pelican,boolean,1,1,1,2025-03-23 17:41:00,1,"""http://content.hungerbox.com/uploads/checklist/prod/2225563_1742804809.jpg""",,0,[Food Safety Compliance]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Daily Checklist (VDC),vendor,"Are products received in good condition, with the vehicle clean, pest-free, and free of other materials like waste or jute bags?",vendor,Pelican,boolean,1,1,1,2025-03-06 17:40:00,,,,1,"[Hygiene & Cleanliness, Food Safety Compliance]"
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,Is the chiller/freezer/oven working? Please click a photo of the relevant appliance.,vendor,Earth Bistro,boolean,1,1,0,2025-03-25 17:40:00,1,,,0,[Hardware (Assets) & Other Equipment]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Daily Food safety Checklist - New,cafe,Is the sorting area cleaned? Please click a photo of the sorting area.,cafe,,boolean,1,1,1,2025-03-09 17:40:00,,,,1,[Hygiene & Cleanliness]
IBM,Manyata - G2 Block 3rd Floor,Vendor Weekly Checklist (VWC),vendor,Is the valid FSSAI license available for vendor?,vendor,Krishna Cafe,boolean,1,1,1,2025-03-28 17:41:00,,,,1,[Food Safety Compliance]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Daily Checklist (VDC),vendor,"Are all vendor staff medically fit for work, free of open cuts or wounds, and following the jewellery policy?",vendor,Krishna Cafe,boolean,1,1,0,2025-03-02 17:41:00,1,,,0,"[Hygiene & Cleanliness, Food Safety Compliance]"
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Daily Checklist (VDC),vendor,"Are all vendor staff medically fit for work, free of open cuts or wounds, and following the jewellery policy?",vendor,Krishna Cafe,boolean,1,1,0,2025-03-03 17:41:00,1,,,0,"[Hygiene & Cleanliness, Food Safety Compliance]"
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,Is the chiller/freezer/oven working? Please click a photo of the relevant appliance.,vendor,Earth Bistro,boolean,1,1,0,2025-03-23 17:40:00,1,,,0,[Hardware (Assets) & Other Equipment]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Daily Checklist (VDC),vendor,"Are the vendor staff properly groomed, wearing the correct uniform, ID cards, and PPE kits? Please share a photo of all staff members together.",vendor,Pelican,boolean,1,1,1,2025-03-03 17:40:00,1,"""http://content.hungerbox.com/uploads/checklist/prod/2225563_1741079477.jpg""",,0,[Hygiene & Cleanliness]
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,"Are the vendor staff properly groomed, wearing the correct uniform, ID cards, and PPE kits? Please share a photo of all staff members together.",vendor,Krishna Cafe,boolean,1,1,1,2025-03-09 17:41:00,,,,1,[Hygiene & Cleanliness]
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,Is the chiller/freezer/oven working? Please click a photo of the relevant appliance.,vendor,Earth Bistro,boolean,1,1,0,2025-03-09 17:41:00,1,,,0,[Hardware (Assets) & Other Equipment]
IBM,Manyata - G2 Block 3rd Floor,Cafe Marketing Checklist,cafe,Are the PWA QR code posters placed at the cafeteria?,cafe,,boolean,1,1,1,2025-03-10 17:40:00,,,,1,[Marketing]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Cafe Marketing Checklist,cafe,"Please upload a picture of yourself wearing the HungerBox jacket or T-shirt in the cafeteria, ensuring both your T-shirt/jacket and shoes are visible.",cafe,,image,0,1,0,2025-03-09 17:40:00,"""http://content.hungerbox.com/uploads/checklist/prod/2225563_1741582919.jpg""",,,0,[Marketing]
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Cafe Operations checklist - Daily (Revised),cafe,Are the grinders clean and tidy? Please click a photo of the same.,cafe,,boolean,1,1,1,2025-03-16 17:40:00,0,"""http://content.hungerbox.com/uploads/checklist/prod/2225563_1742190187.jpg""",,0,"[Hygiene & Cleanliness, Hardware (Assets) & Other Equipment]"
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,"Are products received in good condition, with the vehicle clean, pest-free, and free of other materials like waste or jute bags?",vendor,Pelican,boolean,1,1,1,2025-03-06 17:40:00,,,,0,"[Hygiene & Cleanliness, Food Safety Compliance]"
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,Is there sufficient stock on the counter? Please share an image of the stock.,vendor,Shabhari Juice Junction,boolean,1,1,1,2025-03-02 17:40:00,1,"""http://content.hungerbox.com/uploads/checklist/prod/1896237_1740976824.jpg""",,0,[Inventory & Storage]
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,"Are all vendor staff medically fit for work, free of open cuts or wounds, and following the jewellery policy?",vendor,Tea Cube (Mud Cups),boolean,1,1,0,2025-03-28 17:40:00,,,,1,"[Hygiene & Cleanliness, Food Safety Compliance]"
IBM,Manyata - G2 Block 3rd Floor,Weekly Food safety Checklist- new,cafe,Is pest control being carried out regularly by professional services? Please mention the date of the last pest control.,cafe,,boolean,1,1,0,2025-03-28 17:40:00,,,,1,"[Hygiene & Cleanliness, Food Safety Compliance]"
IBM,Manyata - D4 Block 3rd Floor (Main caf√©),Vendor Daily Checklist (VDC),vendor,Is the bain-marie (65-85°C) or chiller (1-5°C) maintained at the required temperature? Please provide a photo of the temperature display or use a thermometer to verify.,vendor,Pelican,boolean,1,1,1,2025-03-12 17:40:00,1,"""http://content.hungerbox.com/uploads/checklist/prod/2225563_1741857695.jpg""",,0,"[Food Safety Compliance, Hardware (Assets) & Other Equipment]"
IBM,Manyata - G2 Block 3rd Floor,Vendor Daily Checklist (VDC),vendor,"Are separate tongs, gloves, woks, etc., used for veg and non-veg, and are gloves stored properly and changed regularly?",vendor,Krishna Cafe,boolean,1,1,0,2025-03-17 17:41:00,1,,,0,"[Hygiene & Cleanliness, Food Safety Compliance, Hardware (Assets) & Other Equipment]"
